Name,X-Coordinate,Y-Coordinate,Tag,Area (ha),Imperv. (%),공원녹지 X,
S00737TTTF,178471.266,552126.938,녹지,0.035409,0,TRUE,100
S00741TFTT,178591.359,552125.3,자족시설,0.034049,85,FALSE,85
S00742TTTT,178612.172,552126.7,자족시설,0.09,85,FALSE,85
S00743TTTT,178642.172,552126.7,자족시설,0.09,85,FALSE,85
S00744TTTT,178672.172,552126.7,자족시설,0.09,85,FALSE,85
S00745TTTT,178702.172,552126.7,자족시설,0.09,85,FALSE,85
S00746TTTF,178731.3,552127.2,자족시설,0.084418,85,FALSE,85
S00747TFTT,178768.938,552125.8,자족시설,0.048071,85,FALSE,85
S00748TTTT,178792.172,552126.7,자족시설,0.09,85,FALSE,85
S00749TTTT,178822.172,552126.7,보행자전용도로,0.09,100,TRUE,100
S00750TTTT,178852.172,552126.7,자족시설,0.09,85,FALSE,85
S00751TTTF,178881.328,552126.7,자족시설,0.037377,85,FALSE,85
S00752TTTT,178912.172,552126.7,자족시설,0.09,85,FALSE,85
S00753TTTT,178942.172,552126.7,자족시설,0.09,85,FALSE,85
S00754TTTT,178972.172,552126.7,자족시설,0.09,85,FALSE,85
S00755TTTT,179002.125,552126.75,자족시설,0.089696,85,FALSE,85
S00756TFTT,179037.828,552126.5,자족시설,0.028849,85,FALSE,85
S00757TTTT,179062.172,552126.7,자족시설,0.09,85,FALSE,85
S00758TTTT,179092.172,552126.7,자족시설,0.09,85,FALSE,85
S00759TTTT,179121.266,552127.4,공원,0.083881,15,TRUE,100
S00760TTFF,179139.625,552136.938,공원,0.005239,15,TRUE,100
S00761TFTT,179190.375,552123.938,공원,0.037028,15,TRUE,100
S00762TTTT,179211.484,552125.063,공원,0.079561,15,TRUE,100
S00763TTTT,179241.2,552121.4,공원,0.057378,15,TRUE,100
S00764TTTT,179270.6,552117.75,공원,0.035184,15,TRUE,100
S00765TTTT,179297.9,552114.4,공원,0.01299,15,TRUE,100
S00766TTTT,179318.031,552111.9,공원,8.10E-05,15,TRUE,100
S00837TTTF,178471.813,552097,녹지,0.032114,0,TRUE,100
S00841FFTT,178587.516,552089.7,자족시설,0.028528,85,FALSE,85
S00842FTTF,178612.25,552094.8,자족시설,0.04502,85,FALSE,85
S00843TFFT,178642.234,552100.9,자족시설,0.046234,85,FALSE,85
S00844TTFT,178673.047,552102.3,자족시설,0.055891,85,FALSE,85
S00845TTFT,178702.828,552099.063,자족시설,0.075329,85,FALSE,85
S00846TTTF,178728.4,552097.5,자족시설,0.065884,85,FALSE,85
S00847TFFT,178765.953,552096,자족시설,0.066851,85,FALSE,85
S00848TTTT,178792.172,552096.7,자족시설,0.09,85,FALSE,85
S00849TTTT,178822.172,552096.7,자족시설,0.09,85,FALSE,85
S00850TTTT,178851.859,552096.938,자족시설,0.087992,85,FALSE,85
S00851TFTT,178889.234,552096.1,자족시설,0.039673,85,FALSE,85
S00852TTTT,178912.172,552096.7,자족시설,0.09,85,FALSE,85
S00853TTTT,178942.172,552096.7,자족시설,0.09,85,FALSE,85
S00854TTTT,178972.172,552096.7,자족시설,0.09,85,FALSE,85
S00855TTTF,179000.078,552097.3,자족시설,0.076972,85,FALSE,85
S00856TFTT,179040.172,552095.563,자족시설,0.041289,85,FALSE,85
S00857TTTT,179062.172,552096.7,자족시설,0.09,85,FALSE,85
S00858TTTT,179092.172,552096.7,자족시설,0.09,85,FALSE,85
S00859TTTF,179115.344,552099.063,자족시설,0.045664,85,FALSE,85
S00860FFFT,179166.6,552085,공원,0.000377,15,TRUE,100
S00861TTTT,179184.234,552095.6,공원,0.076309,15,TRUE,100
S00862TTTT,179212.172,552096.7,공원,0.09,15,TRUE,100
S00863TTTT,179242.172,552096.7,공원,0.09,15,TRUE,100
S00864TTTT,179272.172,552096.7,공원,0.09,15,TRUE,100
S00865TTTT,179302.172,552096.7,공원,0.09,15,TRUE,100
S00866TTTT,179331.5,552095.25,공원,0.080715,15,TRUE,100
S00867TTTT,179359.953,552091.3,공원,0.053453,15,TRUE,100
S00868TTTT,179377.828,552082.8,공원,0.000328,15,TRUE,100
S00937TTTF,178473,552067.6,녹지,0.024787,0,TRUE,100
S00941TFTT,178585.031,552066,자족시설,0.072435,85,FALSE,85
S00942TTTT,178612.172,552066.7,자족시설,0.09,85,FALSE,85
S00943TTTT,178642.172,552066.7,자족시설,0.09,85,FALSE,85
S00944FTTT,178671.625,552065.3,자족시설,0.081556,85,FALSE,85
S00945FTTT,178701.453,552062.3,자족시설,0.063332,85,FALSE,85
S00946FTTT,178731.2,552059.938,자족시설,0.04646,85,FALSE,85
S00947FTTF,178762.6,552064.6,자족시설,0.043076,85,FALSE,85
S00948TFFT,178792.2,552071.3,자족시설,0.044896,85,FALSE,85
S00949TTFT,178823.031,552072.438,자족시설,0.055017,85,FALSE,85
S00950TTFF,178849.766,552070.25,자족시설,0.058033,85,FALSE,85
S00951TFTT,178887.781,552066,자족시설,0.05583,85,FALSE,85
S00952TTTT,178912.172,552066.7,자족시설,0.09,85,FALSE,85
S00953TTTT,178942.172,552066.7,자족시설,0.09,85,FALSE,85
